"Number","Name","Meaning"
"90","ॐ शुद्धसत्त्वाय नमः
om śuddha-sattvāya namaḥ","salutations to the immaculate (pure)one"
"91","ॐ श्रुतिपारगाय नमः
om śruti-pāragāya namaḥ","salutations to the one who sings (spreads) (the teachings of) the scriptures"
"92","ॐ श्रोत्रियाय नमः
om śrotriyāya namaḥ","salutations to the one who has studied,and knows, the vedas"
"93","ॐ संन्यासिने नमः
om saṁnyāsine namaḥ","salutations to the one who is a renunciate"
"94","ॐ समबुद्धये नमः
om samabuddhaye namaḥ","salutations to the well-composed and equanimous one"
"95","ॐ सच्चिदानन्दाय नमः
om saccidānandāya namaḥ","salutations to the one who is pure existence, consciousness, and bliss"
"96","ॐ सर्वहितचिन्तकाय नमः
om sarvahita-cintakāya namaḥ","salutations to the one who thinks of (wishes for) the welfare of all"
"97","ॐ सत्यसङ्कल्पाय नमः
om satya-saṅkalpāya namaḥ","salutations to the one who is of true resolve"
"98","ॐ सन्तुष्टाय नमः
om santuṣṭāya namaḥ","salutations to the content one"
"99","ॐ साधवे नमः
om sādhave namaḥ","salutations to the pious one"
"100","ॐ सुमनसे नमः
om sumanase namaḥ","salutations to the one who has a good mind"
"101","ॐ सुहृदे नमः
om suhṛde namaḥ","salutations to the one who has a good heart"
"102","ॐ स्वयञ्ज्योतिषे नमः
om svayañjyotiṣe namaḥ","salutations to the self-effulgent one"
"103","ॐ स्थितप्रज्ञाय नमः
om sthita-prajñāya namaḥ","salutations to the one who is established in the highest wisdom"
"104","ॐ क्षमाशीलाय नमः
om kṣamā-śīlāya namaḥ","salutations to the forgiving one"
"105","ॐ ज्ञानमूर्तये नमः
om jñāna-mūrtaye namaḥ","salutations to the one who is the embodiment of knowledge"
"106","ॐ ज्ञानयोगिने नमः
om jñānayogine namaḥ","salutations to the one who attained the goal (reality) through the path of knowledge"
"107","ॐ ज्ञानतृप्ताय नमः
om jñāna-tṛptāya namaḥ","salutations to the one who is content in knowledge (of the self)"
"108","ॐ नित्यशुद्धबुद्धमुक्तस्वरूपाय नमः
om nitya-śuddha-buddha-mukta-svarūpāya namaḥ","salutations to the one who is of the nature of the eternal, pure, and liberated"
